,activation_0,activation_1,activation_2,dist,id,vel
10,"[ 148.76881409  389.82608032  258.92764282  108.97885132  526.20471191
  282.71496582  172.99066162  187.26293945    1.60821867  132.94721985]","[ 35.62332916  32.8237114   47.67566299   8.27547455   9.07086754
  59.74850845  10.29172325   4.54024792  12.36799812   7.51696253]","[ 215.86735535  157.55929565  654.99224854   54.62366486  544.43914795
  604.93487549  236.21965027  105.05641174  118.59493256  141.91920471]",22.900800705,1,2.0
11,"[ 389.82608032  258.92764282  108.97885132  526.20471191  282.71496582
  172.99066162  187.26293945    1.60821867  132.94721985   22.02804375]","[ 32.8237114   47.67566299   8.27547455   9.07086754  59.74850845
  10.29172325   4.54024792  12.36799812   7.51696253   4.04283571]","[ 157.55929565  654.99224854   54.62366486  544.43914795  604.93487549
  236.21965027  105.05641174  118.59493256  141.91920471  110.6717453 ]",22.7072086334,1,2.0
12,"[ 258.92764282  108.97885132  526.20471191  282.71496582  172.99066162
  187.26293945    1.60821867  132.94721985   22.02804375   92.15006256]","[ 47.67566299   8.27547455   9.07086754  59.74850845  10.29172325
   4.54024792  12.36799812   7.51696253   4.04283571   0.91688168]","[ 654.99224854   54.62366486  544.43914795  604.93487549  236.21965027
  105.05641174  118.59493256  141.91920471  110.6717453   103.2835083 ]",22.5131664276,1,2.0
13,"[ 108.97885132  526.20471191  282.71496582  172.99066162  187.26293945
    1.60821867  132.94721985   22.02804375   92.15006256  106.18663025]","[  8.27547455   9.07086754  59.74850845  10.29172325   4.54024792
  12.36799812   7.51696253   4.04283571   0.91688168  24.82377815]","[  54.62366486  544.43914795  604.93487549  236.21965027  105.05641174
  118.59493256  141.91920471  110.6717453   103.2835083   134.80305481]",22.3188686371,1,2.0
14,"[ 526.20471191  282.71496582  172.99066162  187.26293945    1.60821867
  132.94721985   22.02804375   92.15006256  106.18663025  642.51556396]","[  9.07086754  59.74850845  10.29172325   4.54024792  12.36799812
   7.51696253   4.04283571   0.91688168  24.82377815  21.58594513]","[ 544.43914795  604.93487549  236.21965027  105.05641174  118.59493256
  141.91920471  110.6717453   103.2835083   134.80305481   11.10122585]",21.9232025146,1,2.0
15,"[ 282.71496582  172.99066162  187.26293945    1.60821867  132.94721985
   22.02804375   92.15006256  106.18663025  642.51556396   75.0761795 ]","[ 59.74850845  10.29172325   4.54024792  12.36799812   7.51696253
   4.04283571   0.91688168  24.82377815  21.58594513   5.78542948]","[ 604.93487549  236.21965027  105.05641174  118.59493256  141.91920471
  110.6717453   103.2835083   134.80305481   11.10122585  238.08061218]",21.7221431732,1,2.0
16,"[ 172.99066162  187.26293945    1.60821867  132.94721985   22.02804375
   92.15006256  106.18663025  642.51556396   75.0761795   155.22895813]","[ 10.29172325   4.54024792  12.36799812   7.51696253   4.04283571
   0.91688168  24.82377815  21.58594513   5.78542948  11.71609974]","[ 236.21965027  105.05641174  118.59493256  141.91920471  110.6717453
  103.2835083   134.80305481   11.10122585  238.08061218  122.1317215 ]",21.5212478638,1,2.0
17,"[ 187.26293945    1.60821867  132.94721985   22.02804375   92.15006256
  106.18663025  642.51556396   75.0761795   155.22895813  333.69366455]","[  4.54024792  12.36799812   7.51696253   4.04283571   0.91688168
  24.82377815  21.58594513   5.78542948  11.71609974   7.04285526]","[ 105.05641174  118.59493256  141.91920471  110.6717453   103.2835083
  134.80305481   11.10122585  238.08061218  122.1317215   130.67958069]",21.1161823273,1,2.0
18,"[   1.60821867  132.94721985   22.02804375   92.15006256  106.18663025
  642.51556396   75.0761795   155.22895813  333.69366455  304.31085205]","[ 12.36799812   7.51696253   4.04283571   0.91688168  24.82377815
  21.58594513   5.78542948  11.71609974   7.04285526  15.86536598]","[ 118.59493256  141.91920471  110.6717453   103.2835083   134.80305481
   11.10122585  238.08061218  122.1317215   130.67958069   68.06994629]",20.7086162567,1,2.0
19,"[ 132.94721985   22.02804375   92.15006256  106.18663025  642.51556396
   75.0761795   155.22895813  333.69366455  304.31085205  472.05581665]","[  7.51696253   4.04283571   0.91688168  24.82377815  21.58594513
   5.78542948  11.71609974   7.04285526  15.86536598   0.90459269]","[ 141.91920471  110.6717453   103.2835083   134.80305481   11.10122585
  238.08061218  122.1317215   130.67958069   68.06994629   12.97375011]",20.2983798981,1,2.0
20,"[  22.02804375   92.15006256  106.18663025  642.51556396   75.0761795
  155.22895813  333.69366455  304.31085205  472.05581665  417.62768555]","[  4.04283571   0.91688168  24.82377815  21.58594513   5.78542948
  11.71609974   7.04285526  15.86536598   0.90459269   8.4645195 ]","[ 110.6717453   103.2835083   134.80305481   11.10122585  238.08061218
  122.1317215   130.67958069   68.06994629   12.97375011   47.48969269]",19.8899002075,1,2.0
21,"[  92.15006256  106.18663025  642.51556396   75.0761795   155.22895813
  333.69366455  304.31085205  472.05581665  417.62768555  133.30603027]","[  0.91688168  24.82377815  21.58594513   5.78542948  11.71609974
   7.04285526  15.86536598   0.90459269   8.4645195   15.90118027]","[ 103.2835083   134.80305481   11.10122585  238.08061218  122.1317215
  130.67958069   68.06994629   12.97375011   47.48969269  276.74102783]",19.6830272675,1,2.0
22,"[ 106.18663025  642.51556396   75.0761795   155.22895813  333.69366455
  304.31085205  472.05581665  417.62768555  133.30603027  152.3870697 ]","[ 24.82377815  21.58594513   5.78542948  11.71609974   7.04285526
  15.86536598   0.90459269   8.4645195   15.90118027  17.07434464]","[ 134.80305481   11.10122585  238.08061218  122.1317215   130.67958069
   68.06994629   12.97375011   47.48969269  276.74102783  101.7131958 ]",19.4771690369,1,2.0
23,"[ 642.51556396   75.0761795   155.22895813  333.69366455  304.31085205
  472.05581665  417.62768555  133.30603027  152.3870697   428.58151245]","[ 21.58594513   5.78542948  11.71609974   7.04285526  15.86536598
   0.90459269   8.4645195   15.90118027  17.07434464  26.96773529]","[  11.10122585  238.08061218  122.1317215   130.67958069   68.06994629
   12.97375011   47.48969269  276.74102783  101.7131958    85.18585968]",19.0634860992,1,2.0
24,"[  75.0761795   155.22895813  333.69366455  304.31085205  472.05581665
  417.62768555  133.30603027  152.3870697   428.58151245   29.38726807]","[  5.78542948  11.71609974   7.04285526  15.86536598   0.90459269
   8.4645195   15.90118027  17.07434464  26.96773529  12.35351849]","[ 238.08061218  122.1317215   130.67958069   68.06994629   12.97375011
   47.48969269  276.74102783  101.7131958    85.18585968  275.56103516]",18.8558063507,1,2.0
25,"[ 155.22895813  333.69366455  304.31085205  472.05581665  417.62768555
  133.30603027  152.3870697   428.58151245   29.38726807  288.22763062]","[ 11.71609974   7.04285526  15.86536598   0.90459269   8.4645195
  15.90118027  17.07434464  26.96773529  12.35351849  12.87082672]","[ 122.1317215   130.67958069   68.06994629   12.97375011   47.48969269
  276.74102783  101.7131958    85.18585968  275.56103516   84.442276  ]",18.648683548,1,2.0
26,"[ 333.69366455  304.31085205  472.05581665  417.62768555  133.30603027
  152.3870697   428.58151245   29.38726807  288.22763062  457.80337524]","[  7.04285526  15.86536598   0.90459269   8.4645195   15.90118027
  17.07434464  26.96773529  12.35351849  12.87082672   1.86952782]","[ 130.67958069   68.06994629   12.97375011   47.48969269  276.74102783
  101.7131958    85.18585968  275.56103516   84.442276     57.36791611]",18.2335338593,1,2.0
27,"[ 304.31085205  472.05581665  417.62768555  133.30603027  152.3870697
  428.58151245   29.38726807  288.22763062  457.80337524  145.70193481]","[ 15.86536598   0.90459269   8.4645195   15.90118027  17.07434464
  26.96773529  12.35351849  12.87082672   1.86952782  20.86954308]","[  68.06994629   12.97375011   47.48969269  276.74102783  101.7131958
   85.18585968  275.56103516   84.442276     57.36791611  146.32536316]",18.0253639221,1,2.0
28,"[ 472.05581665  417.62768555  133.30603027  152.3870697   428.58151245
   29.38726807  288.22763062  457.80337524  145.70193481   93.50830841]","[  0.90459269   8.4645195   15.90118027  17.07434464  26.96773529
  12.35351849  12.87082672   1.86952782  20.86954308   8.67778969]","[  12.97375011   47.48969269  276.74102783  101.7131958    85.18585968
  275.56103516   84.442276     57.36791611  146.32536316   58.76822281]",17.8176059723,1,2.0
29,"[ 417.62768555  133.30603027  152.3870697   428.58151245   29.38726807
  288.22763062  457.80337524  145.70193481   93.50830841  619.41186523]","[  8.4645195   15.90118027  17.07434464  26.96773529  12.35351849
  12.87082672   1.86952782  20.86954308   8.67778969  21.53517723]","[  47.48969269  276.74102783  101.7131958    85.18585968  275.56103516
   84.442276     57.36791611  146.32536316   58.76822281   93.17256927]",17.4011478424,1,2.0
30,"[ 133.30603027  152.3870697   428.58151245   29.38726807  288.22763062
  457.80337524  145.70193481   93.50830841  619.41186523   60.4140892 ]","[ 15.90118027  17.07434464  26.96773529  12.35351849  12.87082672
   1.86952782  20.86954308   8.67778969  21.53517723   9.88994884]","[ 276.74102783  101.7131958    85.18585968  275.56103516   84.442276
   57.36791611  146.32536316   58.76822281   93.17256927  130.59043884]",17.1943359375,1,2.0
31,"[ 152.3870697   428.58151245   29.38726807  288.22763062  457.80337524
  145.70193481   93.50830841  619.41186523   60.4140892   163.05096436]","[ 17.07434464  26.96773529  12.35351849  12.87082672   1.86952782
  20.86954308   8.67778969  21.53517723   9.88994884  19.15603447]","[ 101.7131958    85.18585968  275.56103516   84.442276     57.36791611
  146.32536316   58.76822281   93.17256927  130.59043884  157.58970642]",16.7807388306,1,2.0
32,"[ 428.58151245   29.38726807  288.22763062  457.80337524  145.70193481
   93.50830841  619.41186523   60.4140892   163.05096436  536.44677734]","[ 26.96773529  12.35351849  12.87082672   1.86952782  20.86954308
   8.67778969  21.53517723   9.88994884  19.15603447  11.58032894]","[  85.18585968  275.56103516   84.442276     57.36791611  146.32536316
   58.76822281   93.17256927  130.59043884  157.58970642  241.69888306]",16.3654441833,1,2.0
33,"[  29.38726807  288.22763062  457.80337524  145.70193481   93.50830841
  619.41186523   60.4140892   163.05096436  536.44677734  200.42095947]","[ 12.35351849  12.87082672   1.86952782  20.86954308   8.67778969
  21.53517723   9.88994884  19.15603447  11.58032894   5.36073685]","[ 275.56103516   84.442276     57.36791611  146.32536316   58.76822281
   93.17256927  130.59043884  157.58970642  241.69888306  128.24697876]",16.1582832336,1,2.0
34,"[ 288.22763062  457.80337524  145.70193481   93.50830841  619.41186523
   60.4140892   163.05096436  536.44677734  200.42095947   84.95829773]","[ 12.87082672   1.86952782  20.86954308   8.67778969  21.53517723
   9.88994884  19.15603447  11.58032894   5.36073685  12.42151928]","[  84.442276     57.36791611  146.32536316   58.76822281   93.17256927
  130.59043884  157.58970642  241.69888306  128.24697876  120.7677536 ]",15.9495019913,1,2.0
35,"[ 457.80337524  145.70193481   93.50830841  619.41186523   60.4140892
  163.05096436  536.44677734  200.42095947   84.95829773  116.98599243]","[  1.86952782  20.86954308   8.67778969  21.53517723   9.88994884
  19.15603447  11.58032894   5.36073685  12.42151928   6.64211464]","[  57.36791611  146.32536316   58.76822281   93.17256927  130.59043884
  157.58970642  241.69888306  128.24697876  120.7677536   120.91397095]",15.7416400909,1,2.0
36,"[ 145.70193481   93.50830841  619.41186523   60.4140892   163.05096436
  536.44677734  200.42095947   84.95829773  116.98599243  561.5559082 ]","[ 20.86954308   8.67778969  21.53517723   9.88994884  19.15603447
  11.58032894   5.36073685  12.42151928   6.64211464  22.16228676]","[ 146.32536316   58.76822281   93.17256927  130.59043884  157.58970642
  241.69888306  128.24697876  120.7677536   120.91397095  289.31048584]",15.3233146667,1,2.0
37,"[  93.50830841  619.41186523   60.4140892   163.05096436  536.44677734
  200.42095947   84.95829773  116.98599243  561.5559082   300.88247681]","[  8.67778969  21.53517723   9.88994884  19.15603447  11.58032894
   5.36073685  12.42151928   6.64211464  22.16228676  13.50580883]","[  58.76822281   93.17256927  130.59043884  157.58970642  241.69888306
  128.24697876  120.7677536   120.91397095  289.31048584  169.81137085]",14.9049425125,1,2.0
38,"[ 619.41186523   60.4140892   163.05096436  536.44677734  200.42095947
   84.95829773  116.98599243  561.5559082   300.88247681  525.30645752]","[ 21.53517723   9.88994884  19.15603447  11.58032894   5.36073685
  12.42151928   6.64211464  22.16228676  13.50580883  22.05773926]","[  93.17256927  130.59043884  157.58970642  241.69888306  128.24697876
  120.7677536   120.91397095  289.31048584  169.81137085  413.25637817]",14.4916734695,1,2.0
39,"[  60.4140892   163.05096436  536.44677734  200.42095947   84.95829773
  116.98599243  561.5559082   300.88247681  525.30645752  255.59873962]","[  9.88994884  19.15603447  11.58032894   5.36073685  12.42151928
   6.64211464  22.16228676  13.50580883  22.05773926  14.2497921 ]","[ 130.59043884  157.58970642  241.69888306  128.24697876  120.7677536
  120.91397095  289.31048584  169.81137085  413.25637817  219.02778625]",14.282292366,1,2.0
40,"[ 163.05096436  536.44677734  200.42095947   84.95829773  116.98599243
  561.5559082   300.88247681  525.30645752  255.59873962   13.09739876]","[ 19.15603447  11.58032894   5.36073685  12.42151928   6.64211464
  22.16228676  13.50580883  22.05773926  14.2497921   12.00889969]","[ 157.58970642  241.69888306  128.24697876  120.7677536   120.91397095
  289.31048584  169.81137085  413.25637817  219.02778625  176.39590454]",14.0745811462,1,2.0
41,"[ 536.44677734  200.42095947   84.95829773  116.98599243  561.5559082
  300.88247681  525.30645752  255.59873962   13.09739876  148.72384644]","[ 11.58032894   5.36073685  12.42151928   6.64211464  22.16228676
  13.50580883  22.05773926  14.2497921   12.00889969  15.68137455]","[ 241.69888306  128.24697876  120.7677536   120.91397095  289.31048584
  169.81137085  413.25637817  219.02778625  176.39590454  230.35369873]",13.8643798828,1,2.0
42,"[ 200.42095947   84.95829773  116.98599243  561.5559082   300.88247681
  525.30645752  255.59873962   13.09739876  148.72384644   72.33924103]","[  5.36073685  12.42151928   6.64211464  22.16228676  13.50580883
  22.05773926  14.2497921   12.00889969  15.68137455  15.84847736]","[ 128.24697876  120.7677536   120.91397095  289.31048584  169.81137085
  413.25637817  219.02778625  176.39590454  230.35369873  191.11683655]",13.6558170319,1,2.0
43,"[  84.95829773  116.98599243  561.5559082   300.88247681  525.30645752
  255.59873962   13.09739876  148.72384644   72.33924103    7.81578875]","[ 12.42151928   6.64211464  22.16228676  13.50580883  22.05773926
  14.2497921   12.00889969  15.68137455  15.84847736  20.28003502]","[ 120.7677536   120.91397095  289.31048584  169.81137085  413.25637817
  219.02778625  176.39590454  230.35369873  191.11683655  267.84313965]",13.4459438324,1,2.0
44,"[ 116.98599243  561.5559082   300.88247681  525.30645752  255.59873962
   13.09739876  148.72384644   72.33924103    7.81578875   19.25925636]","[  6.64211464  22.16228676  13.50580883  22.05773926  14.2497921
  12.00889969  15.68137455  15.84847736  20.28003502  22.42423058]","[ 120.91397095  289.31048584  169.81137085  413.25637817  219.02778625
  176.39590454  230.35369873  191.11683655  267.84313965  326.22720337]",13.2373151779,1,2.0
45,"[ 561.5559082   300.88247681  525.30645752  255.59873962   13.09739876
  148.72384644   72.33924103    7.81578875   19.25925636   24.64275551]","[ 22.16228676  13.50580883  22.05773926  14.2497921   12.00889969
  15.68137455  15.84847736  20.28003502  22.42423058  15.32170868]","[ 289.31048584  169.81137085  413.25637817  219.02778625  176.39590454
  230.35369873  191.11683655  267.84313965  326.22720337  205.58363342]",13.0278377533,1,2.0
46,"[ 300.88247681  525.30645752  255.59873962   13.09739876  148.72384644
   72.33924103    7.81578875   19.25925636   24.64275551   74.88900757]","[ 13.50580883  22.05773926  14.2497921   12.00889969  15.68137455
  15.84847736  20.28003502  22.42423058  15.32170868  25.59656525]","[ 169.81137085  413.25637817  219.02778625  176.39590454  230.35369873
  191.11683655  267.84313965  326.22720337  205.58363342  411.63275146]",12.8194484711,1,2.0
47,"[ 525.30645752  255.59873962   13.09739876  148.72384644   72.33924103
    7.81578875   19.25925636   24.64275551   74.88900757  190.60635376]","[ 22.05773926  14.2497921   12.00889969  15.68137455  15.84847736
  20.28003502  22.42423058  15.32170868  25.59656525  14.66677475]","[ 413.25637817  219.02778625  176.39590454  230.35369873  191.11683655
  267.84313965  326.22720337  205.58363342  411.63275146  382.20700073]",12.6098861694,1,2.0
48,"[ 255.59873962   13.09739876  148.72384644   72.33924103    7.81578875
   19.25925636   24.64275551   74.88900757  190.60635376   94.8817749 ]","[ 14.2497921   12.00889969  15.68137455  15.84847736  20.28003502
  22.42423058  15.32170868  25.59656525  14.66677475   8.6581955 ]","[ 219.02778625  176.39590454  230.35369873  191.11683655  267.84313965
  326.22720337  205.58363342  411.63275146  382.20700073  485.82226562]",12.401216507,1,2.0
49,"[  13.09739876  148.72384644   72.33924103    7.81578875   19.25925636
   24.64275551   74.88900757  190.60635376   94.8817749   142.485672  ]","[ 12.00889969  15.68137455  15.84847736  20.28003502  22.42423058
  15.32170868  25.59656525  14.66677475   8.6581955   10.6298008 ]","[ 176.39590454  230.35369873  191.11683655  267.84313965  326.22720337
  205.58363342  411.63275146  382.20700073  485.82226562  319.27258301]",12.1917266846,1,2.0
50,"[ 148.72384644   72.33924103    7.81578875   19.25925636   24.64275551
   74.88900757  190.60635376   94.8817749   142.485672     53.74046707]","[ 15.68137455  15.84847736  20.28003502  22.42423058  15.32170868
  25.59656525  14.66677475   8.6581955   10.6298008   18.56634521]","[ 230.35369873  191.11683655  267.84313965  326.22720337  205.58363342
  411.63275146  382.20700073  485.82226562  319.27258301  229.56369019]",11.9826946259,1,2.0
51,"[  72.33924103    7.81578875   19.25925636   24.64275551   74.88900757
  190.60635376   94.8817749   142.485672     53.74046707  215.05810547]","[ 15.84847736  20.28003502  22.42423058  15.32170868  25.59656525
  14.66677475   8.6581955   10.6298008   18.56634521  21.06189728]","[ 191.11683655  267.84313965  326.22720337  205.58363342  411.63275146
  382.20700073  485.82226562  319.27258301  229.56369019  258.82879639]",11.7757692337,1,2.0
52,"[   7.81578875   19.25925636   24.64275551   74.88900757  190.60635376
   94.8817749   142.485672     53.74046707  215.05810547  220.29295349]","[ 20.28003502  22.42423058  15.32170868  25.59656525  14.66677475
   8.6581955   10.6298008   18.56634521  21.06189728  18.31910133]","[ 267.84313965  326.22720337  205.58363342  411.63275146  382.20700073
  485.82226562  319.27258301  229.56369019  258.82879639  548.98370361]",11.5704889297,1,2.0
53,"[  19.25925636   24.64275551   74.88900757  190.60635376   94.8817749
  142.485672     53.74046707  215.05810547  220.29295349   53.30604553]","[ 22.42423058  15.32170868  25.59656525  14.66677475   8.6581955
  10.6298008   18.56634521  21.06189728  18.31910133  25.33041573]","[ 326.22720337  205.58363342  411.63275146  382.20700073  485.82226562
  319.27258301  229.56369019  258.82879639  548.98370361  479.52890015]",11.3621282578,1,2.0
54,"[  24.64275551   74.88900757  190.60635376   94.8817749   142.485672
   53.74046707  215.05810547  220.29295349   53.30604553  249.82063293]","[ 15.32170868  25.59656525  14.66677475   8.6581955   10.6298008
  18.56634521  21.06189728  18.31910133  25.33041573  47.09874344]","[ 205.58363342  411.63275146  382.20700073  485.82226562  319.27258301
  229.56369019  258.82879639  548.98370361  479.52890015  709.06726074]",10.9443464279,1,2.0
55,"[  74.88900757  190.60635376   94.8817749   142.485672     53.74046707
  215.05810547  220.29295349   53.30604553  249.82063293  118.10011292]","[ 25.59656525  14.66677475   8.6581955   10.6298008   18.56634521
  21.06189728  18.31910133  25.33041573  47.09874344  19.43805504]","[ 411.63275146  382.20700073  485.82226562  319.27258301  229.56369019
  258.82879639  548.98370361  479.52890015  709.06726074  298.70068359]",10.7353019714,1,2.0
56,"[ 190.60635376   94.8817749   142.485672     53.74046707  215.05810547
  220.29295349   53.30604553  249.82063293  118.10011292   16.19306755]","[ 14.66677475   8.6581955   10.6298008   18.56634521  21.06189728
  18.31910133  25.33041573  47.09874344  19.43805504  20.60838699]","[ 382.20700073  485.82226562  319.27258301  229.56369019  258.82879639
  548.98370361  479.52890015  709.06726074  298.70068359  383.01507568]",10.5238256454,1,2.0
57,"[  94.8817749   142.485672     53.74046707  215.05810547  220.29295349
   53.30604553  249.82063293  118.10011292   16.19306755  143.18545532]","[  8.6581955   10.6298008   18.56634521  21.06189728  18.31910133
  25.33041573  47.09874344  19.43805504  20.60838699  19.31890106]","[ 485.82226562  319.27258301  229.56369019  258.82879639  548.98370361
  479.52890015  709.06726074  298.70068359  383.01507568  515.00604248]",10.3141803741,1,2.0
58,"[ 142.485672     53.74046707  215.05810547  220.29295349   53.30604553
  249.82063293  118.10011292   16.19306755  143.18545532   18.53251076]","[ 10.6298008   18.56634521  21.06189728  18.31910133  25.33041573
  47.09874344  19.43805504  20.60838699  19.31890106  35.56682968]","[ 319.27258301  229.56369019  258.82879639  548.98370361  479.52890015
  709.06726074  298.70068359  383.01507568  515.00604248  573.68017578]",10.1034297943,1,2.0
59,"[  53.74046707  215.05810547  220.29295349   53.30604553  249.82063293
  118.10011292   16.19306755  143.18545532   18.53251076  229.86895752]","[ 18.56634521  21.06189728  18.31910133  25.33041573  47.09874344
  19.43805504  20.60838699  19.31890106  35.56682968  32.20287323]","[ 229.56369019  258.82879639  548.98370361  479.52890015  709.06726074
  298.70068359  383.01507568  515.00604248  573.68017578  519.3493042 ]",9.89402198792,1,2.0
60,"[ 215.05810547  220.29295349   53.30604553  249.82063293  118.10011292
   16.19306755  143.18545532   18.53251076  229.86895752    3.57441211]","[ 21.06189728  18.31910133  25.33041573  47.09874344  19.43805504
  20.60838699  19.31890106  35.56682968  32.20287323  21.31177521]","[ 258.82879639  548.98370361  479.52890015  709.06726074  298.70068359
  383.01507568  515.00604248  573.68017578  519.3493042   399.7326355 ]",9.68350315094,1,2.0
61,"[ 220.29295349   53.30604553  249.82063293  118.10011292   16.19306755
  143.18545532   18.53251076  229.86895752    3.57441211  131.47602844]","[ 18.31910133  25.33041573  47.09874344  19.43805504  20.60838699
  19.31890106  35.56682968  32.20287323  21.31177521  30.16617012]","[ 548.98370361  479.52890015  709.06726074  298.70068359  383.01507568
  515.00604248  573.68017578  519.3493042   399.7326355   534.77838135]",9.47359085083,1,2.0
62,"[  53.30604553  249.82063293  118.10011292   16.19306755  143.18545532
   18.53251076  229.86895752    3.57441211  131.47602844  119.61191559]","[ 25.33041573  47.09874344  19.43805504  20.60838699  19.31890106
  35.56682968  32.20287323  21.31177521  30.16617012  52.35939407]","[ 479.52890015  709.06726074  298.70068359  383.01507568  515.00604248
  573.68017578  519.3493042   399.7326355   534.77838135  648.97125244]",9.26626586914,1,2.0
63,"[ 249.82063293  118.10011292   16.19306755  143.18545532   18.53251076
  229.86895752    3.57441211  131.47602844  119.61191559   81.21938324]","[ 47.09874344  19.43805504  20.60838699  19.31890106  35.56682968
  32.20287323  21.31177521  30.16617012  52.35939407  23.23324013]","[ 709.06726074  298.70068359  383.01507568  515.00604248  573.68017578
  519.3493042   399.7326355   534.77838135  648.97125244  644.27453613]",9.06099891663,1,2.0
64,"[ 118.10011292   16.19306755  143.18545532   18.53251076  229.86895752
    3.57441211  131.47602844  119.61191559   81.21938324   68.13760376]","[ 19.43805504  20.60838699  19.31890106  35.56682968  32.20287323
  21.31177521  30.16617012  52.35939407  23.23324013  43.71456909]","[ 298.70068359  383.01507568  515.00604248  573.68017578  519.3493042
  399.7326355   534.77838135  648.97125244  644.27453613  646.4083252 ]",8.85033798218,1,2.0
65,"[  16.19306755  143.18545532   18.53251076  229.86895752    3.57441211
  131.47602844  119.61191559   81.21938324   68.13760376  100.6158371 ]","[ 20.60838699  19.31890106  35.56682968  32.20287323  21.31177521
  30.16617012  52.35939407  23.23324013  43.71456909  44.8200798 ]","[ 383.01507568  515.00604248  573.68017578  519.3493042   399.7326355
  534.77838135  648.97125244  644.27453613  646.4083252   696.0491333 ]",8.64230728149,1,2.0
